,totals
1981,967397937
1982,53
1983,2235897
1984,5961708
1985,394761965
1986,4428194678
1987,4822956643
1988,1344941817
1989,5720239179
1990,7065180996
1991,202863608
1992,907573553
1993,1110437161
1994,92915692
1995,303510729
1996,396426421
1997,967397937
1998,53
1999,2235897
2000,5961708
2001,394761965
2002,4428194678
2003,4822956643
2004,1344941817
2005,5720239179
2006,7065180996
2007,202863608
2008,907573553
2009,1110437161
2010,92915692
2011,303510729
2012,396426421
2013,967397937
2014,53
2015,2235897
2016,5961708
2017,394761965
2018,4428194678
2019,4822956643
2020,1344941817
2021,5720239179
2022,7065180996
2023,202863608
2024,907573553
2025,1110437161
2026,92915692
2027,303510729
2028,396426421
2029,967397937
2030,53
2031,2235897
2032,5961708
2033,394761965
2034,4428194678
2035,4822956643
2036,1344941817
2037,5720239179
2038,7065180996
2039,202863608
2040,907573553
2041,1110437161
2042,92915692
2043,303510729
2044,396426421
2045,967397937
2046,53
2047,2235897
2048,5961708
2049,394761965
2050,4428194678
2051,4822956643
2052,1344941817
2053,5720239179
2054,7065180996
2055,202863608
2056,907573553
2057,1110437161
2058,92915692
2059,303510729
2060,396426421
2061,967397937
2062,53
2063,2235897
2064,5961708
